Test NFA, number of states = 15 propogating length = 225
experiment No = 5406, UNSAT, testing length = 225
experiment No = 5407, UNSAT, testing length = 225
experiment No = 5408, UNSAT, testing length = 225
experiment No = 5409, UNSAT, testing length = 225
experiment No = 5410, UNSAT, testing length = 225
experiment No = 5411, UNSAT, testing length = 225
experiment No = 5412, UNSAT, testing length = 225
experiment No = 5413, UNSAT, testing length = 225
experiment No = 5414, UNSAT, testing length = 225
experiment No = 5415, UNSAT, testing length = 225
experiment No = 5416, UNSAT, testing length = 225
experiment No = 5417, UNSAT, testing length = 225
experiment No = 5418, UNSAT, testing length = 225
experiment No = 5419, UNSAT, testing length = 225
experiment No = 5420, UNSAT, testing length = 225
experiment No = 5421, UNSAT, testing length = 225
experiment No = 5422, UNSAT, testing length = 225
experiment No = 5423, UNSAT, testing length = 225
experiment No = 5424, UNSAT, testing length = 225
experiment No = 5425, UNSAT, testing length = 225
experiment No = 5426, UNSAT, testing length = 225
experiment No = 5427, UNSAT, testing length = 225
experiment No = 5428, UNSAT, testing length = 225
experiment No = 5429, UNSAT, testing length = 225
experiment No = 5430, UNSAT, testing length = 225
experiment No = 5431, UNSAT, testing length = 225
experiment No = 5432, UNSAT, testing length = 225
experiment No = 5433, UNSAT, testing length = 225
experiment No = 5434, UNSAT, testing length = 225
experiment No = 5435, UNSAT, testing length = 225
experiment No = 5436, UNSAT, testing length = 225
experiment No = 5437, UNSAT, testing length = 225
experiment No = 5438, UNSAT, testing length = 225
experiment No = 5439, UNSAT, testing length = 225
experiment No = 5440, UNSAT, testing length = 225
experiment No = 5441, UNSAT, testing length = 225
experiment No = 5442, UNSAT, testing length = 225
experiment No = 5443, UNSAT, testing length = 225
experiment No = 5444, UNSAT, testing length = 225
experiment No = 5445, UNSAT, testing length = 225
experiment No = 5446, UNSAT, testing length = 225
experiment No = 5447, UNSAT, testing length = 225
experiment No = 5448, UNSAT, testing length = 225
experiment No = 5449, UNSAT, testing length = 225
experiment No = 5450, UNSAT, testing length = 225
experiment No = 5451, UNSAT, testing length = 225
experiment No = 5452, UNSAT, testing length = 225
experiment No = 5453, UNSAT, testing length = 225
experiment No = 5454, UNSAT, testing length = 225
experiment No = 5455, UNSAT, testing length = 225
experiment No = 5456, UNSAT, testing length = 225
experiment No = 5457, UNSAT, testing length = 225
experiment No = 5458, UNSAT, testing length = 225
experiment No = 5459, UNSAT, testing length = 225
experiment No = 5460, UNSAT, testing length = 225
experiment No = 5461, UNSAT, testing length = 225
experiment No = 5462, UNSAT, testing length = 225
experiment No = 5463, UNSAT, testing length = 225
experiment No = 5464, UNSAT, testing length = 225
experiment No = 5465, UNSAT, testing length = 225
experiment No = 5466, UNSAT, testing length = 225
experiment No = 5467, UNSAT, testing length = 225
experiment No = 5468, UNSAT, testing length = 225
experiment No = 5469, UNSAT, testing length = 225
experiment No = 5470, UNSAT, testing length = 225
experiment No = 5471, UNSAT, testing length = 225
experiment No = 5472, UNSAT, testing length = 225
experiment No = 5473, UNSAT, testing length = 225
experiment No = 5474, UNSAT, testing length = 225
experiment No = 5475, UNSAT, testing length = 225
experiment No = 5476, UNSAT, testing length = 225
experiment No = 5477, UNSAT, testing length = 225
experiment No = 5478, UNSAT, testing length = 225
experiment No = 5479, UNSAT, testing length = 225
experiment No = 5480, UNSAT, testing length = 225
experiment No = 5481, UNSAT, testing length = 225
experiment No = 5482, UNSAT, testing length = 225
experiment No = 5483, UNSAT, testing length = 225
experiment No = 5484, UNSAT, testing length = 225
experiment No = 5485, UNSAT, testing length = 225
experiment No = 5486, UNSAT, testing length = 225
experiment No = 5487, UNSAT, testing length = 225
experiment No = 5488, UNSAT, testing length = 225
experiment No = 5489, UNSAT, testing length = 225
experiment No = 5490, UNSAT, testing length = 225
experiment No = 5491, UNSAT, testing length = 225
experiment No = 5492, UNSAT, testing length = 225
experiment No = 5493, UNSAT, testing length = 225
experiment No = 5494, UNSAT, testing length = 225
experiment No = 5495, UNSAT, testing length = 225
experiment No = 5496, UNSAT, testing length = 225
experiment No = 5497, UNSAT, testing length = 225
experiment No = 5498, UNSAT, testing length = 225
experiment No = 5499, UNSAT, testing length = 225
experiment No = 5500, UNSAT, testing length = 225
experiment No = 5501, UNSAT, testing length = 225
experiment No = 5502, UNSAT, testing length = 225
experiment No = 5503, UNSAT, testing length = 225
experiment No = 5504, UNSAT, testing length = 225
experiment No = 5505, UNSAT, testing length = 225
experiment No = 5506, UNSAT, testing length = 225
experiment No = 5507, UNSAT, testing length = 225
experiment No = 5508, UNSAT, testing length = 225
experiment No = 5509, UNSAT, testing length = 225
experiment No = 5510, UNSAT, testing length = 225
experiment No = 5511, UNSAT, testing length = 225
experiment No = 5512, UNSAT, testing length = 225
experiment No = 5513, UNSAT, testing length = 225
experiment No = 5514, UNSAT, testing length = 225
experiment No = 5515, UNSAT, testing length = 225
experiment No = 5516, UNSAT, testing length = 225
experiment No = 5517, UNSAT, testing length = 225
experiment No = 5518, UNSAT, testing length = 225
experiment No = 5519, UNSAT, testing length = 225
experiment No = 5520, UNSAT, testing length = 225
experiment No = 5521, UNSAT, testing length = 225
experiment No = 5522, UNSAT, testing length = 225
experiment No = 5523, UNSAT, testing length = 225
experiment No = 5524, UNSAT, testing length = 225
experiment No = 5525, UNSAT, testing length = 225
experiment No = 5526, UNSAT, testing length = 225
experiment No = 5527, UNSAT, testing length = 225
experiment No = 5528, UNSAT, testing length = 225
experiment No = 5529, UNSAT, testing length = 225
experiment No = 5530, UNSAT, testing length = 225
experiment No = 5531, UNSAT, testing length = 225
experiment No = 5532, UNSAT, testing length = 225
experiment No = 5533, UNSAT, testing length = 225
experiment No = 5534, UNSAT, testing length = 225
experiment No = 5535, UNSAT, testing length = 225
experiment No = 5536, UNSAT, testing length = 225
experiment No = 5537, UNSAT, testing length = 225
experiment No = 5538, UNSAT, testing length = 225
experiment No = 5539, UNSAT, testing length = 225
experiment No = 5540, UNSAT, testing length = 225
experiment No = 5541, UNSAT, testing length = 225
experiment No = 5542, UNSAT, testing length = 225
experiment No = 5543, UNSAT, testing length = 225
experiment No = 5544, UNSAT, testing length = 225
experiment No = 5545, UNSAT, testing length = 225
experiment No = 5546, UNSAT, testing length = 225
experiment No = 5547, UNSAT, testing length = 225
experiment No = 5548, UNSAT, testing length = 225
experiment No = 5549, UNSAT, testing length = 225
experiment No = 5550, UNSAT, testing length = 225
experiment No = 5551, UNSAT, testing length = 225
experiment No = 5552, UNSAT, testing length = 225
experiment No = 5553, UNSAT, testing length = 225
experiment No = 5554, UNSAT, testing length = 225
experiment No = 5555, UNSAT, testing length = 225
experiment No = 5556, UNSAT, testing length = 225
experiment No = 5557, UNSAT, testing length = 225
experiment No = 5558, UNSAT, testing length = 225
experiment No = 5559, UNSAT, testing length = 225
experiment No = 5560, UNSAT, testing length = 225
experiment No = 5561, UNSAT, testing length = 225
experiment No = 5562, UNSAT, testing length = 225
experiment No = 5563, UNSAT, testing length = 225
experiment No = 5564, UNSAT, testing length = 225
experiment No = 5565, UNSAT, testing length = 225
experiment No = 5566, UNSAT, testing length = 225
experiment No = 5567, UNSAT, testing length = 225
experiment No = 5568, UNSAT, testing length = 225
experiment No = 5569, UNSAT, testing length = 225
experiment No = 5570, UNSAT, testing length = 225
experiment No = 5571, UNSAT, testing length = 225
experiment No = 5572, UNSAT, testing length = 225
experiment No = 5573, UNSAT, testing length = 225
experiment No = 5574, UNSAT, testing length = 225
experiment No = 5575, UNSAT, testing length = 225
experiment No = 5576, UNSAT, testing length = 225
experiment No = 5577, UNSAT, testing length = 225
experiment No = 5578, UNSAT, testing length = 225
experiment No = 5579, UNSAT, testing length = 225
experiment No = 5580, UNSAT, testing length = 225
experiment No = 5581, UNSAT, testing length = 225
experiment No = 5582, UNSAT, testing length = 225
experiment No = 5583, UNSAT, testing length = 225
experiment No = 5584, UNSAT, testing length = 225
experiment No = 5585, UNSAT, testing length = 225
experiment No = 5586, UNSAT, testing length = 225
experiment No = 5587, UNSAT, testing length = 225
experiment No = 5588, UNSAT, testing length = 225
experiment No = 5589, UNSAT, testing length = 225
experiment No = 5590, UNSAT, testing length = 225
experiment No = 5591, UNSAT, testing length = 225
experiment No = 5592, UNSAT, testing length = 225
experiment No = 5593, UNSAT, testing length = 225
experiment No = 5594, UNSAT, testing length = 225
experiment No = 5595, UNSAT, testing length = 225
experiment No = 5596, UNSAT, testing length = 225
experiment No = 5597, UNSAT, testing length = 225
experiment No = 5598, UNSAT, testing length = 225
experiment No = 5599, UNSAT, testing length = 225
experiment No = 5600, UNSAT, testing length = 225
experiment No = 5601, UNSAT, testing length = 225
experiment No = 5602, UNSAT, testing length = 225
experiment No = 5603, UNSAT, testing length = 225
experiment No = 5604, UNSAT, testing length = 225
experiment No = 5605, UNSAT, testing length = 225
experiment No = 5606, UNSAT, testing length = 225
experiment No = 5607, UNSAT, testing length = 225
experiment No = 5608, UNSAT, testing length = 225
experiment No = 5609, UNSAT, testing length = 225
experiment No = 5610, UNSAT, testing length = 225
experiment No = 5611, UNSAT, testing length = 225
experiment No = 5612, UNSAT, testing length = 225
experiment No = 5613, UNSAT, testing length = 225
experiment No = 5614, UNSAT, testing length = 225
experiment No = 5615, UNSAT, testing length = 225
experiment No = 5616, UNSAT, testing length = 225
experiment No = 5617, UNSAT, testing length = 225
experiment No = 5618, UNSAT, testing length = 225
experiment No = 5619, UNSAT, testing length = 225
experiment No = 5620, UNSAT, testing length = 225
experiment No = 5621, UNSAT, testing length = 225
experiment No = 5622, UNSAT, testing length = 225
experiment No = 5623, UNSAT, testing length = 225
experiment No = 5624, UNSAT, testing length = 225
experiment No = 5625, UNSAT, testing length = 225
experiment No = 5626, UNSAT, testing length = 225
experiment No = 5627, UNSAT, testing length = 225
experiment No = 5628, UNSAT, testing length = 225
experiment No = 5629, UNSAT, testing length = 225
experiment No = 5630, UNSAT, testing length = 225
experiment No = 5631, UNSAT, testing length = 225
experiment No = 5632, UNSAT, testing length = 225
experiment No = 5633, UNSAT, testing length = 225
experiment No = 5634, UNSAT, testing length = 225
experiment No = 5635, UNSAT, testing length = 225
experiment No = 5636, UNSAT, testing length = 225
experiment No = 5637, UNSAT, testing length = 225
experiment No = 5638, UNSAT, testing length = 225
experiment No = 5639, UNSAT, testing length = 225
experiment No = 5640, UNSAT, testing length = 225
experiment No = 5641, UNSAT, testing length = 225
experiment No = 5642, UNSAT, testing length = 225
experiment No = 5643, UNSAT, testing length = 225
experiment No = 5644, UNSAT, testing length = 225
experiment No = 5645, UNSAT, testing length = 225
experiment No = 5646, UNSAT, testing length = 225
experiment No = 5647, UNSAT, testing length = 225
experiment No = 5648, UNSAT, testing length = 225
experiment No = 5649, UNSAT, testing length = 225
experiment No = 5650, UNSAT, testing length = 225
experiment No = 5651, UNSAT, testing length = 225
experiment No = 5652, UNSAT, testing length = 225
experiment No = 5653, UNSAT, testing length = 225
experiment No = 5654, UNSAT, testing length = 225
experiment No = 5655, UNSAT, testing length = 225
experiment No = 5656, UNSAT, testing length = 225
experiment No = 5657, UNSAT, testing length = 225
experiment No = 5658, UNSAT, testing length = 225
experiment No = 5659, UNSAT, testing length = 225
experiment No = 5660, UNSAT, testing length = 225
experiment No = 5661, UNSAT, testing length = 225
experiment No = 5662, UNSAT, testing length = 225
experiment No = 5663, UNSAT, testing length = 225
experiment No = 5664, UNSAT, testing length = 225
experiment No = 5665, UNSAT, testing length = 225
experiment No = 5666, UNSAT, testing length = 225
experiment No = 5667, UNSAT, testing length = 225
experiment No = 5668, UNSAT, testing length = 225
experiment No = 5669, UNSAT, testing length = 225
experiment No = 5670, UNSAT, testing length = 225
experiment No = 5671, UNSAT, testing length = 225
experiment No = 5672, UNSAT, testing length = 225
experiment No = 5673, UNSAT, testing length = 225
experiment No = 5674, UNSAT, testing length = 225
experiment No = 5675, UNSAT, testing length = 225
experiment No = 5676, UNSAT, testing length = 225
experiment No = 5677, UNSAT, testing length = 225
experiment No = 5678, UNSAT, testing length = 225
experiment No = 5679, UNSAT, testing length = 225
experiment No = 5680, UNSAT, testing length = 225
experiment No = 5681, UNSAT, testing length = 225
experiment No = 5682, UNSAT, testing length = 225
experiment No = 5683, UNSAT, testing length = 225
experiment No = 5684, UNSAT, testing length = 225
experiment No = 5685, UNSAT, testing length = 225
experiment No = 5686, UNSAT, testing length = 225
experiment No = 5687, UNSAT, testing length = 225
experiment No = 5688, UNSAT, testing length = 225
experiment No = 5689, UNSAT, testing length = 225
experiment No = 5690, UNSAT, testing length = 225
experiment No = 5691, UNSAT, testing length = 225
experiment No = 5692, UNSAT, testing length = 225
experiment No = 5693, UNSAT, testing length = 225
experiment No = 5694, UNSAT, testing length = 225
experiment No = 5695, UNSAT, testing length = 225
experiment No = 5696, UNSAT, testing length = 225
experiment No = 5697, UNSAT, testing length = 225
experiment No = 5698, UNSAT, testing length = 225
experiment No = 5699, UNSAT, testing length = 225
experiment No = 5700, UNSAT, testing length = 225
experiment No = 5701, UNSAT, testing length = 225
experiment No = 5702, UNSAT, testing length = 225
experiment No = 5703, UNSAT, testing length = 225
experiment No = 5704, UNSAT, testing length = 225
experiment No = 5705, UNSAT, testing length = 225
experiment No = 5706, UNSAT, testing length = 225
experiment No = 5707, UNSAT, testing length = 225
experiment No = 5708, UNSAT, testing length = 225
experiment No = 5709, UNSAT, testing length = 225
experiment No = 5710, UNSAT, testing length = 225
experiment No = 5711, UNSAT, testing length = 225
experiment No = 5712, UNSAT, testing length = 225
experiment No = 5713, UNSAT, testing length = 225
experiment No = 5714, UNSAT, testing length = 225
experiment No = 5715, UNSAT, testing length = 225
experiment No = 5716, UNSAT, testing length = 225
experiment No = 5717, UNSAT, testing length = 225
experiment No = 5718, UNSAT, testing length = 225
experiment No = 5719, UNSAT, testing length = 225
experiment No = 5720, UNSAT, testing length = 225
experiment No = 5721, UNSAT, testing length = 225
experiment No = 5722, UNSAT, testing length = 225
experiment No = 5723, UNSAT, testing length = 225
experiment No = 5724, UNSAT, testing length = 225
experiment No = 5725, UNSAT, testing length = 225
experiment No = 5726, UNSAT, testing length = 225
experiment No = 5727, UNSAT, testing length = 225
experiment No = 5728, UNSAT, testing length = 225
experiment No = 5729, UNSAT, testing length = 225
experiment No = 5730, UNSAT, testing length = 225
experiment No = 5731, UNSAT, testing length = 225
experiment No = 5732, UNSAT, testing length = 225
experiment No = 5733, UNSAT, testing length = 225
experiment No = 5734, UNSAT, testing length = 225
experiment No = 5735, UNSAT, testing length = 225
experiment No = 5736, UNSAT, testing length = 225
experiment No = 5737, UNSAT, testing length = 225
experiment No = 5738, UNSAT, testing length = 225
experiment No = 5739, UNSAT, testing length = 225
experiment No = 5740, UNSAT, testing length = 225
experiment No = 5741, UNSAT, testing length = 225
experiment No = 5742, UNSAT, testing length = 225
experiment No = 5743, UNSAT, testing length = 225
experiment No = 5744, UNSAT, testing length = 225
experiment No = 5745, UNSAT, testing length = 225
experiment No = 5746, UNSAT, testing length = 225
experiment No = 5747, UNSAT, testing length = 225
experiment No = 5748, UNSAT, testing length = 225
experiment No = 5749, UNSAT, testing length = 225
experiment No = 5750, UNSAT, testing length = 225
experiment No = 5751, UNSAT, testing length = 225
experiment No = 5752, UNSAT, testing length = 225
experiment No = 5753, UNSAT, testing length = 225
experiment No = 5754, UNSAT, testing length = 225
experiment No = 5755, UNSAT, testing length = 225
experiment No = 5756, UNSAT, testing length = 225
experiment No = 5757, UNSAT, testing length = 225
experiment No = 5758, UNSAT, testing length = 225
experiment No = 5759, UNSAT, testing length = 225
experiment No = 5760, UNSAT, testing length = 225
experiment No = 5761, UNSAT, testing length = 225
experiment No = 5762, UNSAT, testing length = 225
experiment No = 5763, UNSAT, testing length = 225
experiment No = 5764, UNSAT, testing length = 225
experiment No = 5765, UNSAT, testing length = 225
experiment No = 5766, SAT, shortest length = 19
experiment No = 5767, UNSAT, testing length = 225
experiment No = 5768, UNSAT, testing length = 225
experiment No = 5769, UNSAT, testing length = 225
experiment No = 5770, UNSAT, testing length = 225
experiment No = 5771, UNSAT, testing length = 225
experiment No = 5772, UNSAT, testing length = 225
experiment No = 5773, UNSAT, testing length = 225
experiment No = 5774, UNSAT, testing length = 225
experiment No = 5775, UNSAT, testing length = 225
experiment No = 5776, UNSAT, testing length = 225
experiment No = 5777, UNSAT, testing length = 225
experiment No = 5778, UNSAT, testing length = 225
experiment No = 5779, UNSAT, testing length = 225
experiment No = 5780, UNSAT, testing length = 225
experiment No = 5781, UNSAT, testing length = 225
experiment No = 5782, UNSAT, testing length = 225
experiment No = 5783, UNSAT, testing length = 225
experiment No = 5784, UNSAT, testing length = 225
experiment No = 5785, UNSAT, testing length = 225
experiment No = 5786, UNSAT, testing length = 225
experiment No = 5787, UNSAT, testing length = 225
experiment No = 5788, UNSAT, testing length = 225
experiment No = 5789, UNSAT, testing length = 225
experiment No = 5790, UNSAT, testing length = 225
experiment No = 5791, UNSAT, testing length = 225
experiment No = 5792, UNSAT, testing length = 225
experiment No = 5793, UNSAT, testing length = 225
experiment No = 5794, UNSAT, testing length = 225
experiment No = 5795, UNSAT, testing length = 225
experiment No = 5796, UNSAT, testing length = 225
experiment No = 5797, UNSAT, testing length = 225
experiment No = 5798, UNSAT, testing length = 225
experiment No = 5799, UNSAT, testing length = 225
experiment No = 5800, UNSAT, testing length = 225
experiment No = 5801, UNSAT, testing length = 225
experiment No = 5802, UNSAT, testing length = 225
experiment No = 5803, UNSAT, testing length = 225
experiment No = 5804, UNSAT, testing length = 225
experiment No = 5805, UNSAT, testing length = 225
experiment No = 5806, UNSAT, testing length = 225
experiment No = 5807, UNSAT, testing length = 225
experiment No = 5808, UNSAT, testing length = 225
experiment No = 5809, UNSAT, testing length = 225
experiment No = 5810, UNSAT, testing length = 225
experiment No = 5811, UNSAT, testing length = 225
experiment No = 5812, UNSAT, testing length = 225
experiment No = 5813, UNSAT, testing length = 225
experiment No = 5814, UNSAT, testing length = 225
experiment No = 5815, UNSAT, testing length = 225
experiment No = 5816, UNSAT, testing length = 225
experiment No = 5817, UNSAT, testing length = 225
experiment No = 5818, UNSAT, testing length = 225
experiment No = 5819, UNSAT, testing length = 225
experiment No = 5820, UNSAT, testing length = 225
experiment No = 5821, UNSAT, testing length = 225
experiment No = 5822, UNSAT, testing length = 225
experiment No = 5823, UNSAT, testing length = 225
experiment No = 5824, UNSAT, testing length = 225
experiment No = 5825, UNSAT, testing length = 225
experiment No = 5826, UNSAT, testing length = 225
experiment No = 5827, UNSAT, testing length = 225
experiment No = 5828, UNSAT, testing length = 225
experiment No = 5829, UNSAT, testing length = 225
experiment No = 5830, UNSAT, testing length = 225
experiment No = 5831, UNSAT, testing length = 225
experiment No = 5832, UNSAT, testing length = 225
experiment No = 5833, UNSAT, testing length = 225
experiment No = 5834, UNSAT, testing length = 225
experiment No = 5835, UNSAT, testing length = 225
experiment No = 5836, UNSAT, testing length = 225
experiment No = 5837, UNSAT, testing length = 225
experiment No = 5838, UNSAT, testing length = 225
experiment No = 5839, UNSAT, testing length = 225
experiment No = 5840, UNSAT, testing length = 225
experiment No = 5841, UNSAT, testing length = 225
experiment No = 5842, UNSAT, testing length = 225
experiment No = 5843, UNSAT, testing length = 225
experiment No = 5844, UNSAT, testing length = 225
experiment No = 5845, UNSAT, testing length = 225
experiment No = 5846, UNSAT, testing length = 225
experiment No = 5847, UNSAT, testing length = 225
experiment No = 5848, UNSAT, testing length = 225
experiment No = 5849, UNSAT, testing length = 225
experiment No = 5850, UNSAT, testing length = 225
experiment No = 5851, UNSAT, testing length = 225
experiment No = 5852, UNSAT, testing length = 225
experiment No = 5853, UNSAT, testing length = 225
experiment No = 5854, UNSAT, testing length = 225
experiment No = 5855, UNSAT, testing length = 225
experiment No = 5856, UNSAT, testing length = 225
experiment No = 5857, UNSAT, testing length = 225
experiment No = 5858, UNSAT, testing length = 225
experiment No = 5859, UNSAT, testing length = 225
experiment No = 5860, UNSAT, testing length = 225
experiment No = 5861, UNSAT, testing length = 225
experiment No = 5862, UNSAT, testing length = 225
experiment No = 5863, UNSAT, testing length = 225
experiment No = 5864, UNSAT, testing length = 225
experiment No = 5865, UNSAT, testing length = 225
experiment No = 5866, UNSAT, testing length = 225
experiment No = 5867, UNSAT, testing length = 225
experiment No = 5868, UNSAT, testing length = 225
experiment No = 5869, UNSAT, testing length = 225
experiment No = 5870, UNSAT, testing length = 225
experiment No = 5871, UNSAT, testing length = 225
experiment No = 5872, UNSAT, testing length = 225
experiment No = 5873, UNSAT, testing length = 225
experiment No = 5874, UNSAT, testing length = 225
experiment No = 5875, UNSAT, testing length = 225
experiment No = 5876, UNSAT, testing length = 225
experiment No = 5877, UNSAT, testing length = 225
experiment No = 5878, UNSAT, testing length = 225
experiment No = 5879, UNSAT, testing length = 225
experiment No = 5880, UNSAT, testing length = 225
experiment No = 5881, UNSAT, testing length = 225
experiment No = 5882, UNSAT, testing length = 225
experiment No = 5883, UNSAT, testing length = 225
experiment No = 5884, UNSAT, testing length = 225
experiment No = 5885, UNSAT, testing length = 225
experiment No = 5886, UNSAT, testing length = 225
experiment No = 5887, UNSAT, testing length = 225
experiment No = 5888, UNSAT, testing length = 225
experiment No = 5889, UNSAT, testing length = 225
experiment No = 5890, UNSAT, testing length = 225
experiment No = 5891, UNSAT, testing length = 225
experiment No = 5892, UNSAT, testing length = 225
experiment No = 5893, UNSAT, testing length = 225
experiment No = 5894, UNSAT, testing length = 225
experiment No = 5895, UNSAT, testing length = 225
experiment No = 5896, UNSAT, testing length = 225
experiment No = 5897, UNSAT, testing length = 225
experiment No = 5898, UNSAT, testing length = 225
experiment No = 5899, UNSAT, testing length = 225
experiment No = 5900, UNSAT, testing length = 225
experiment No = 5901, UNSAT, testing length = 225
experiment No = 5902, UNSAT, testing length = 225
experiment No = 5903, UNSAT, testing length = 225
experiment No = 5904, UNSAT, testing length = 225
experiment No = 5905, UNSAT, testing length = 225
experiment No = 5906, UNSAT, testing length = 225
experiment No = 5907, UNSAT, testing length = 225
experiment No = 5908, UNSAT, testing length = 225
experiment No = 5909, UNSAT, testing length = 225
experiment No = 5910, UNSAT, testing length = 225
experiment No = 5911, UNSAT, testing length = 225
experiment No = 5912, UNSAT, testing length = 225
experiment No = 5913, UNSAT, testing length = 225
experiment No = 5914, UNSAT, testing length = 225
experiment No = 5915, UNSAT, testing length = 225
experiment No = 5916, UNSAT, testing length = 225
experiment No = 5917, UNSAT, testing length = 225
experiment No = 5918, UNSAT, testing length = 225
experiment No = 5919, UNSAT, testing length = 225
experiment No = 5920, UNSAT, testing length = 225
experiment No = 5921, UNSAT, testing length = 225
experiment No = 5922, UNSAT, testing length = 225
experiment No = 5923, UNSAT, testing length = 225
experiment No = 5924, UNSAT, testing length = 225
experiment No = 5925, UNSAT, testing length = 225
experiment No = 5926, UNSAT, testing length = 225
experiment No = 5927, UNSAT, testing length = 225
experiment No = 5928, UNSAT, testing length = 225
experiment No = 5929, UNSAT, testing length = 225
experiment No = 5930, UNSAT, testing length = 225
experiment No = 5931, UNSAT, testing length = 225
experiment No = 5932, UNSAT, testing length = 225
experiment No = 5933, UNSAT, testing length = 225
experiment No = 5934, UNSAT, testing length = 225
experiment No = 5935, UNSAT, testing length = 225
experiment No = 5936, UNSAT, testing length = 225
experiment No = 5937, UNSAT, testing length = 225
experiment No = 5938, UNSAT, testing length = 225
experiment No = 5939, UNSAT, testing length = 225
experiment No = 5940, UNSAT, testing length = 225
experiment No = 5941, UNSAT, testing length = 225
experiment No = 5942, UNSAT, testing length = 225
experiment No = 5943, UNSAT, testing length = 225
experiment No = 5944, UNSAT, testing length = 225
experiment No = 5945, UNSAT, testing length = 225
experiment No = 5946, UNSAT, testing length = 225
experiment No = 5947, UNSAT, testing length = 225
experiment No = 5948, UNSAT, testing length = 225
experiment No = 5949, UNSAT, testing length = 225
experiment No = 5950, UNSAT, testing length = 225
experiment No = 5951, UNSAT, testing length = 225
experiment No = 5952, UNSAT, testing length = 225
experiment No = 5953, UNSAT, testing length = 225
experiment No = 5954, UNSAT, testing length = 225
experiment No = 5955, UNSAT, testing length = 225
experiment No = 5956, UNSAT, testing length = 225
experiment No = 5957, UNSAT, testing length = 225
experiment No = 5958, UNSAT, testing length = 225
experiment No = 5959, SAT, shortest length = 16
experiment No = 5960, UNSAT, testing length = 225
experiment No = 5961, UNSAT, testing length = 225
experiment No = 5962, UNSAT, testing length = 225
experiment No = 5963, UNSAT, testing length = 225
experiment No = 5964, UNSAT, testing length = 225
experiment No = 5965, UNSAT, testing length = 225
experiment No = 5966, UNSAT, testing length = 225
experiment No = 5967, UNSAT, testing length = 225
experiment No = 5968, UNSAT, testing length = 225
experiment No = 5969, UNSAT, testing length = 225
experiment No = 5970, UNSAT, testing length = 225
experiment No = 5971, UNSAT, testing length = 225
experiment No = 5972, UNSAT, testing length = 225
experiment No = 5973, UNSAT, testing length = 225
experiment No = 5974, UNSAT, testing length = 225
experiment No = 5975, UNSAT, testing length = 225
experiment No = 5976, UNSAT, testing length = 225
experiment No = 5977, UNSAT, testing length = 225
experiment No = 5978, UNSAT, testing length = 225
experiment No = 5979, UNSAT, testing length = 225
experiment No = 5980, UNSAT, testing length = 225
experiment No = 5981, UNSAT, testing length = 225
experiment No = 5982, UNSAT, testing length = 225
experiment No = 5983, UNSAT, testing length = 225
experiment No = 5984, UNSAT, testing length = 225
experiment No = 5985, UNSAT, testing length = 225
experiment No = 5986, UNSAT, testing length = 225
experiment No = 5987, UNSAT, testing length = 225
experiment No = 5988, UNSAT, testing length = 225
experiment No = 5989, UNSAT, testing length = 225
experiment No = 5990, UNSAT, testing length = 225
experiment No = 5991, UNSAT, testing length = 225
experiment No = 5992, UNSAT, testing length = 225
experiment No = 5993, UNSAT, testing length = 225
experiment No = 5994, UNSAT, testing length = 225
experiment No = 5995, UNSAT, testing length = 225
experiment No = 5996, UNSAT, testing length = 225
experiment No = 5997, UNSAT, testing length = 225
experiment No = 5998, UNSAT, testing length = 225
experiment No = 5999, UNSAT, testing length = 225
experiment No = 6000, UNSAT, testing length = 225
experiment No = 6001, UNSAT, testing length = 225
experiment No = 6002, UNSAT, testing length = 225
experiment No = 6003, UNSAT, testing length = 225
experiment No = 6004, UNSAT, testing length = 225
experiment No = 6005, UNSAT, testing length = 225
experiment No = 6006, UNSAT, testing length = 225
experiment No = 6007, UNSAT, testing length = 225
experiment No = 6008, UNSAT, testing length = 225
experiment No = 6009, UNSAT, testing length = 225
experiment No = 6010, UNSAT, testing length = 225
experiment No = 6011, UNSAT, testing length = 225
experiment No = 6012, UNSAT, testing length = 225
experiment No = 6013, UNSAT, testing length = 225
experiment No = 6014, UNSAT, testing length = 225
experiment No = 6015, UNSAT, testing length = 225
experiment No = 6016, UNSAT, testing length = 225
experiment No = 6017, UNSAT, testing length = 225
experiment No = 6018, UNSAT, testing length = 225
experiment No = 6019, UNSAT, testing length = 225
experiment No = 6020, UNSAT, testing length = 225
experiment No = 6021, UNSAT, testing length = 225
experiment No = 6022, UNSAT, testing length = 225
experiment No = 6023, UNSAT, testing length = 225
experiment No = 6024, UNSAT, testing length = 225
experiment No = 6025, UNSAT, testing length = 225
experiment No = 6026, UNSAT, testing length = 225
experiment No = 6027, UNSAT, testing length = 225
experiment No = 6028, UNSAT, testing length = 225
experiment No = 6029, UNSAT, testing length = 225
experiment No = 6030, UNSAT, testing length = 225
experiment No = 6031, UNSAT, testing length = 225
experiment No = 6032, UNSAT, testing length = 225
experiment No = 6033, UNSAT, testing length = 225
experiment No = 6034, UNSAT, testing length = 225
experiment No = 6035, UNSAT, testing length = 225
experiment No = 6036, UNSAT, testing length = 225
experiment No = 6037, UNSAT, testing length = 225
experiment No = 6038, UNSAT, testing length = 225
experiment No = 6039, UNSAT, testing length = 225
experiment No = 6040, UNSAT, testing length = 225
